frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,1,1,1.00,1.00,-0.01
1,1,1,1.00,1.00,-0.01
2,1,1,1.00,1.00,-0.01
3,1,1,1.00,1.00,-0.02
4,1,1,1.00,1.00,-0.02
5,1,1,1.00,1.00,-0.02
6,1,1,1.00,1.00,-0.01
7,1,1,1.00,1.00,-0.01
8,1,1,1.00,1.00,-0.01
9,1,1,1.00,1.00,-0.02
10,1,1,1.00,1.00,-0.02
11,1,1,1.00,1.00,-0.02
12,1,1,1.00,1.00,-0.02
13,1,1,1.00,1.00,-0.02
14,1,1,1.00,1.00,-0.02
15,1,1,1.00,1.00,-0.02
16,1,1,1.00,1.00,-0.02
17,1,1,1.00,1.00,-0.02
18,1,1,1.00,1.00,-0.02
19,1,1,1.00,1.00,-0.02
20,1,1,1.00,1.00,-0.03
21,1,1,1.00,1.00,-0.03
22,1,1,1.00,1.00,-0.02
23,1,1,1.00,1.00,-0.02
24,1,1,1.00,1.00,-0.03
25,1,1,1.00,1.00,-0.04
26,1,1,1.00,1.00,-0.05
27,1,1,1.00,1.00,-0.06
28,1,1,1.00,1.00,-0.06
29,1,1,1.00,1.00,-0.06
30,1,1,1.00,1.00,-0.05
31,1,1,1.00,1.00,-0.04
32,1,1,1.00,1.00,-0.03
33,1,1,1.00,1.00,-0.03
34,1,1,1.00,1.00,-0.04
35,1,1,1.00,1.00,-0.05
36,1,1,1.00,1.00,-0.05
37,1,1,1.00,1.00,-0.05
38,1,1,1.00,1.00,-0.05
39,1,1,1.00,1.00,-0.06
40,1,1,1.00,1.00,-0.07
41,1,1,1.00,1.00,-0.07
42,1,1,1.00,1.00,-0.06
43,1,1,1.00,1.00,-0.04
44,1,1,1.00,1.00,-0.03
45,1,1,1.00,1.00,-0.00
46,1,1,1.00,0.92,0.02
47,1,1,1.00,0.57,0.04
48,1,1,1.00,0.98,0.02
49,1,1,1.00,0.79,-0.00
50,1,1,1.00,1.00,-0.02
51,1,1,1.00,1.00,-0.03
52,1,1,0.97,0.92,-0.05
